work_location,position_type,people_number,spider,position_link,publish_times,time,position_name
深圳,技术类,2,,https://hr.tencent.com/position_detail.php?id=46576&keywords=&tid=0&lid=0,2018-12-23,,TEG14-云数据库高级研发工程师（深圳/北京/武汉）
广州,技术类,2,,https://hr.tencent.com/position_detail.php?id=46570&keywords=&tid=0&lid=0,2018-12-23,,WXG03-小程序终端系统开发（广州）
深圳,技术类,1,,https://hr.tencent.com/position_detail.php?id=46573&keywords=&tid=0&lid=0,2018-12-23,,PCG04-后台开发工程师（深圳）
北京,产品/项目类,1,,https://hr.tencent.com/position_detail.php?id=46574&keywords=&tid=0&lid=0,2018-12-23,,25814-数据产品经理
北京,内容编辑类,1,,https://hr.tencent.com/position_detail.php?id=46575&keywords=&tid=0&lid=0,2018-12-23,,23672-原创内容运营编辑
印度尼西亚,内容编辑类,1,,https://hr.tencent.com/position_detail.php?id=46577&keywords=&tid=0&lid=0,2018-12-23,,GY0-Content Promotion Specialist
深圳,技术类,1,,https://hr.tencent.com/position_detail.php?id=46565&keywords=&tid=0&lid=0,2018-12-23,,PCG17-web前端开发工程师（深圳）
上海,技术类,1,,https://hr.tencent.com/position_detail.php?id=46567&keywords=&tid=0&lid=0,2018-12-23,,27564-移动游戏运营开发工程师
广州,技术类,2,,https://hr.tencent.com/position_detail.php?id=46568&keywords=&tid=0&lid=0,2018-12-23,,WXG03-小游戏引擎客户端开发(广州）
广州,技术类,2,,https://hr.tencent.com/position_detail.php?id=46569&keywords=&tid=0&lid=0,2018-12-23,,WXG03-115 小游戏引擎工具链开发（广州）
